,,A肌の色はオークルか？,A髪の色は黒いか？,A髪のつやはあるか？,A肌にツヤはあるか？,A唇の色はピンクか色がないか？
,,Bピンクか？,B若干明るいか？,Bマットか？,Bマットか？,Bオレンジっぽいか？
summer_soft,A,2,5,4,0,9
summer_soft,B,8,5,6,10,1
summer_blue,A,1,6,4,0,8
summer_blue,B,9,4,6,10,2
autumn_hard,A,9,7,5,2,0
autumn_hard,B,1,3,5,8,10
autumn_yellow,A,9,4,3,2,0
autumn_yellow,B,1,6,7,8,10
spring_soft,A,6,1,5,7,1
spring_soft,B,4,9,5,3,9
spring_yellow,A,8,3,7,8,0
spring_yellow,B,2,7,3,2,10
winter_blue,A,2,10,7,6,9
winter_blue,B,8,0,3,4,1
winter_hard,A,2,10,6,6,9
winter_hard,B,8,0,4,4,1